full_text,likes,comments,shares,total_engagement,hook_type,topic,angle,structure,visual_format,first_line,hook_150,url,_source,rank,source,totalEngagement,numLikes,numComments,numShares,lego_1_topic,lego_2_angle,lego_3_hook_type,lego_3_hook_text,lego_4_story_structure,lego_5_visual_format,lego_7_rhythm,post_url,lego_6_key_visual,image_url
"Marty Kausas is the CEO and Co-Founder of Pylon, one of the fastest-growing platforms modernizing B2B customer support. With prior engineering experience at Airbnb, Marty blends deep technical chops with a market-first mindset to tackle one of the most overlooked segments in enterprise software: post-sales support. Since launching, Pylon has become the go-to support infrastructure for high-growth B2B companies, backed by leading investors like Andreessen Horowitz, General Catalyst, and Y Combinator. Under Marty’s leadership, the company is pioneering an AI-native approach to customer success—replacing outdated ticketing systems with a platform purpose-built for tools like Slack and Teams. He’s part of a new generation of founders scaling category-defining companies by staying close to the customer and building in public.

Topics: 

- Reimagining B2B Support with AI-Native, Workflow-First Tools
- Skipping technical screenings for your first engineers - unconventional hiring philosophy
- Building for the ""chat-first"" generation of B2B buyers and sellers 

#VCPodcast #B2BStartups #CustomerSupport #Pylon #StartupFunding",27.0,3.0,3.0,,Magician,Startup/Founder,Insight/Observation,Statement → Commentary,Text-only,"Marty Kausas is the CEO and Co-Founder of Pylon, one of the fastest-growing platforms modernizing B2B customer support. With prior engineering experie","Marty Kausas is the CEO and Co-Founder of Pylon, one of the fastest-growing platforms modernizing B2B customer support. With prior engineering experie",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"pylon engineering

be cracked → https://lnkd.in/gBjP58a6",67.0,4.0,2.0,,Teacher,Engineering/Technical,Insight/Observation,Setup → Punchline,Text-only,pylon engineering,"pylon engineering

be cracked → https://lnkd.in/gBjP58a6",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"🏆 G2's Summer 2025 report just dropped and Pylon won three badges: High Performer, Momentum Leader, and Easiest to Do Business With 🏆

Thank you to everyone who left reviews! Building something that people actually want to use is always the goal.


---


Don't know what Pylon is?

We're the first customer support platform built for B2B companies. 

Pylon combines reactive customer work (tickets) and proactive (account management). It's like if Zendesk and Gainsight had a baby.

Learn more at usepylon[dot]com",43.0,4.0,1.0,,Teacher,General,Insight/Observation,Statement → Commentary,Text-only,"🏆 G2's Summer 2025 report just dropped and Pylon won three badges: High Performer, Momentum Leader, and Easiest to Do Business With 🏆","🏆 G2's Summer 2025 report just dropped and Pylon won three badges: High Performer, Momentum Leader, and Easiest to Do Business With 🏆

Thank you to ev",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"AI-native tools are reshaping how startups operate.

Ananda Krishna, Founder of Astra Security, shares how their team is using Pylon as a customer support co-pilot — an example of how fast-moving, AI-first companies are building magical experiences at scale.

Early signals of where the future is headed.

Watch the full conversation here:
 https://lnkd.in/gQHM_rtw",45.0,1.0,3.0,,Teacher,Startup/Founder,Insight/Observation,Statement → Commentary,Text-only,AI-native tools are reshaping how startups operate.,"AI-native tools are reshaping how startups operate.

Ananda Krishna, Founder of Astra Security, shares how their team is using Pylon as a customer sup",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
Here's how to go from a ticket to runbook in < 3 minutes.,38.0,2.0,2.0,,Magician,General,Insight/Observation,Setup → Punchline,Text-only,Here's how to go from a ticket to runbook in < 3 minutes.,Here's how to go from a ticket to runbook in < 3 minutes.,,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"We're hiring across every function at Pylon!

Please consider joining us if any of the roles are a fit for you 👇

We have 11 total roles open across...
- design (1x)
- eng (♾️)
- sales (2x)
- marketing (1x)
- ops (2x)
- solutions (1x)
- support (1x)
- product (1x)

We're building the first customer support platform built for B2B. The customer support category is arguably one of the largest categories you could possibly build a company in.

Join us and let's build a massive company together 🚀 


Jobs page:
https://lnkd.in/gBjP58a6",223.0,23.0,6.0,,Teacher,Leadership/Management,Insight/Observation,Listicle/Breakdown,Text-only,We're hiring across every function at Pylon!,"We're hiring across every function at Pylon!

Please consider joining us if any of the roles are a fit for you 👇

We have 11 total roles open across..",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"We're officially hiring Product Manager(s) at Pylon.

Until now, product decisions have been founder-led.

We were able to move very quickly while maintaining high context across both customers and our internal team. 

That said, product scope has increased quickly. We now sell a support platform, AI products, and account management tool. Each one of these surface areas go deep and have single companies built around them.

There has become a clear need for more dedicated product-thinking in the company.

We want someone who has:
→ taken multiple products 0 to 1
→ worked early stage
→ can maintain product and business context


To start, we're opening up the search for this role in-network.

If we've worked together or you already know someone at Pylon please reach out.

This role is fully in-person in SF.",298.0,27.0,13.0,,Fortune Teller,Leadership/Management,Insight/Observation,Statement → Commentary,Text-only,We're officially hiring Product Manager(s) at Pylon.,"We're officially hiring Product Manager(s) at Pylon.

Until now, product decisions have been founder-led.

We were able to move very quickly while mai",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"You’ll probably get fired for buying IBM.

My friend Marty Kausas’s company, Pylon, is eating Zendesk’s lunch. They’re a scrappy startup, just two years old, and they’re winning every deal against Zendesk. When I caught up with Marty at SaaStr today, he joked, “The only rebuttal Zendesk has is that Pylon is a Series A company”—ironically, that’s just one of many reasons they’re crushing Zendesk. 

Enterprises are increasingly turning to best-in-breed startups to educate them about the future of their business.

Across my portfolio I’m seeing enterprises looking to seed-stage companies to inform their AI strategies. Amanda Kahlow, CEO of 1Mind, texts me at least once a week to share news of another enterprise deal she’s landed. Ana-Maria Constantin CEO of Cascade is securing six-figure contracts with some of the largest medical companies in the country, and Maryam Khan Meurer CEO at Axle Mobility already has enterprise customers that took us years to land at Motive!

The pattern is clear: if you’re not on the cusp of AI, you’re probably going to get fired soon for sticking to the same old big-name vendors. You need to be reinventing your business. The old saying goes—you never got fired for buying IBM, but in this innovation cycle, the opposite is true!

More about my Day 1 at SaaStr below: Jason M. Lemkin + Amelia Lerutte that was a good one!",237.0,19.0,6.0,,Teacher,Startup/Founder,Personal Experience,Statement → Commentary,Text-only,You’ll probably get fired for buying IBM.,"You’ll probably get fired for buying IBM.

My friend Marty Kausas’s company, Pylon, is eating Zendesk’s lunch. They’re a scrappy startup, just two yea",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"A few weeks ago we flew out to New York to launch our Account Management product, turning Pylon into the first B2B Support Platform. 

B2B teams need more than just ticketing. They also need data, workflows, and views for all of their customer facing teams across account management, customer success, solutions, marketing, and more. 

We want to become your all-in-one platform for your post-sales team.

While working towards this vision, Pylon was lucky to be listed on this year's Enterprise 30 list run by Wing and Eric Newcomer.

It’s a nice to get this recognition, but more than anything, it’s a reminder of the incredible work our team has been doing—shipping fast, listening to customers, and building a product we’re proud of.​

Shoutout to everyone at Pylon (and our customers!).​

Now back to work—lots more to build 🚀

📸: Marty, Robert, and myself with the Pylon logo up top",400.0,20.0,2.0,,Magician,GTM/Sales,Insight/Observation,Statement → Commentary,Text-only,"A few weeks ago we flew out to New York to launch our Account Management product, turning Pylon into the first B2B Support Platform.","A few weeks ago we flew out to New York to launch our Account Management product, turning Pylon into the first B2B Support Platform. 

B2B teams need",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"Seems like the gold standard is now Mintlify, Pylon, Linear, Coast, incident.io. Loving it... 👏",64.0,8.0,5.0,,Teacher,General,Insight/Observation,Setup → Punchline,Text-only,"Seems like the gold standard is now Mintlify, Pylon, Linear, Coast, incident.io. Loving it... 👏","Seems like the gold standard is now Mintlify, Pylon, Linear, Coast, incident.io. Loving it... 👏",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"Yesterday we released Account Management. 

Here's a deeper dive into how it works 👇

Account Management is centered around Notebooks.

They allow your team to gather quick context on any customer.

For example...

1/ Support can quickly understand a customer setup
2/ Leadership can see what's the latest on an account
3/ CSMs can ask for account context without having to remember every detail

Notebooks are built from customizable widgets.

Widget can include AI Summaries, Charts, CRM Fields, Linear Tickets, and more!

Out-of-the-box, we have one default Notebooks for you that includes:
- Sentiment
- Use cases
- Feature requests
- Stakeholders


There's so much more to explore here.

See a longer video in the docs:
https://lnkd.in/gvcF33Yh",160.0,18.0,4.0,,Teacher,Leadership/Management,Insight/Observation,Listicle/Breakdown,Text-only,Yesterday we released Account Management.,"Yesterday we released Account Management. 

Here's a deeper dive into how it works 👇

Account Management is centered around Notebooks.

They allow you",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"You don’t need to build everything yourself.

When we started Tavily, we built many agents in-house to stay lean. But highly specialized agents require constant iteration to stay ahead. Companies like Pylon and 11x went deep in their verticals and moved fast.

So, goodbye for now, Bamba (Tavily’s CS agent)—you did a great job. 🚀




Marty Kausas",141.0,9.0,5.0,,Teacher,General,Insight/Observation,Statement → Commentary,Text-only,You don’t need to build everything yourself.,"You don’t need to build everything yourself.

When we started Tavily, we built many agents in-house to stay lean. But highly specialized agents requir",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"Marty Kausas co-founded Pylon, a B2B support platform that's raised $20 million in funding.

Their journey began at Airbnb, where Marty worked as a software engineer until he ""absolutely hated it"" and decided to start a company.

What followed was 18 months of failed ideas and pivots before finding product-market fit.

Their breakthrough approach? Instead of building for a problem they had: 
→ Each co-founder sent 40 personalized LinkedIn messages daily 
→ They targeted professionals with newer job titles 
→ They systematically interviewed everyone who would talk to them

A pattern emerged: B2B companies were supporting their customers through Slack but had no way to: 
→ Track conversations 
→ Create tickets 
→ Measure performance 
→ Connect data to their CRM

Their first customer came from a spontaneous conversation in their hacker house. Within 14 days, they had an MVP in use.

Initially, Pylon was just a Zendesk-Slack connector, but customer feedback pushed them toward a bigger opportunity.

The fundamental insight: B2B support is structurally different from B2C.

""In B2C companies, you only have one team that's customer-facing. In B2B, you have customer support, customer success, solutions, professional services—all these different teams need to work with customer data.""

This led to a bold positioning strategy: ""building the next Zendesk"" specifically for B2B companies.

While the entire support industry chases AI-powered ticket deflection, Pylon recognized that B2B customers need something different — workflow optimization for complex technical problems that can't be easily automated away.

Their growth engine? Founder-led marketing on LinkedIn generates half their pipeline: 
→ All three co-founders post daily 
→ Marty spends 5+ hours every Sunday batch-writing posts 
→ Their strategy combines build-in-public transparency with targeted ""villain brand"" positioning

Pylon's most effective content frames product updates as narratives, not features: ""Our analytics, our worst feature. That changes today.""

For founders struggling with marketing, Marty offers blunt advice: ""If you are a founder who's not comfortable with that, it sucks. Get over it or find a co-founder who is willing to do it.""

Marty's team is now systematically building toward their audacious goal: a $10 billion market cap in seven years.

Listen to the full episode today: https://lnkd.in/eTwebr3m",26.0,2.0,1.0,,Magician,Startup/Founder,Insight/Observation,Listicle/Breakdown,Text-only,"Marty Kausas co-founded Pylon, a B2B support platform that's raised $20 million in funding.","Marty Kausas co-founded Pylon, a B2B support platform that's raised $20 million in funding.

Their journey began at Airbnb, where Marty worked as a so",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"I had the pleasure of speaking to Marty Kausas from Pylon.

He raised $17m in ONLY 14 days...

Now, how much you raise doesn't equate to how successful your company is, but one thing was for sure…

Marty & his team utilized LEVERAGE & SCARCITY when it came to speaking to investors, which most founders dismiss.

The compound effect? Well...14 days instead of the typical months if not, half a year that founders spend on raising.

To learn more on:
* Raising captial
* Creating pressure cooker environments for accelerated growth
* LinkedIn strategies for B2B companies

You can watch the full episode 🔗’d in comments.",107.0,14.0,3.0,,Teacher,Startup/Founder,Personal Experience,Statement → Commentary,Text-only,I had the pleasure of speaking to Marty Kausas from Pylon.,"I had the pleasure of speaking to Marty Kausas from Pylon.

He raised $17m in ONLY 14 days...

Now, how much you raise doesn't equate to how successfu",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"The exact deck that got us $10M last year. Copy whatever you want.


It’s a snapshot of where we were - but we kept it simple:
- what’s changed in the market
- why this problem is hard
- how fast we’re growing
- what we’re building next

A year later, we’re at 1,500+ customers and we just launched something new:

A Desktop Recording SDK that gives devs raw conversation data (transcripts, recordings, metadata) without bots

Build functionality like Granola, ChatGPT Record, or Notion AI Meeting No",,,,,Contrarian,AI/ML,Contrarian/Challenge,Listicle/Breakdown,Text-only,The exact deck that got us $10M last year. Copy whatever you want.,"The exact deck that got us $10M last year. Copy whatever you want.


It’s a snapshot of where we were - but we kept it simple:
- what’s changed in the",,product_led_top50_idea_legos_analysis.csv,1.0,,3629.0,3512.0,88.0,29.0,Sales,Radical transparency,Magician,The exact deck that got us $10M last year. Copy whatever you want.   It’s a snapshot of where we were - but we kept it simple: - what’s changed in the,List,image,Highly Varied (Musical),https://www.linkedin.com/posts/zhu-amanda_the-exact-deck-that-got-us-10m-last-year-activity-7349453702841188352-iUA-?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEsbscwB4exxXLT9qmMHDRY039o5JTp8myQ,See image URL,https://media.licdn.com/dms/image/v2/D5610AQETKI6Eko1rkg/image-shrink_1280/B56Zf6BLzLGoAQ-/0/1752246305931?e=1770825600&v=beta&t=rbKeCgBDAbmOYhwjqU9HHKOz6Bfa4f_7DptnIOqpiP8
"The biggest unlock between $1M and $10M ARR wasn’t product or sales. It was messaging.

At $1M ARR, I kept hearing the same question on sales calls:
”So you’re like [consumer notetaking app], right?”

We aren’t a notetaker.
We are the API powering them.

But if every lead is comparing you to the wrong product, that’s a messaging problem.

Here’s what I changed:

1/ Clarified WHO we serve, not WHAT we do
Before: “Capture and transcribe your meetings with ease”
After: “The API for developers to ge",,,,,Magician,Engineering/Technical,Insight/Observation,Contrast Format,Text-only,The biggest unlock between $1M and $10M ARR wasn’t product or sales. It was messaging.,"The biggest unlock between $1M and $10M ARR wasn’t product or sales. It was messaging.

At $1M ARR, I kept hearing the same question on sales calls:
”",,product_led_top50_idea_legos_analysis.csv,3.0,,3558.0,3239.0,245.0,74.0,Sales,Founder perspective,Magician,"The biggest unlock between $1M and $10M ARR wasn’t product or sales. It was messaging.  At $1M ARR, I kept hearing the same question on sales calls: ”",Numbered Steps,text,Highly Varied (Musical),https://www.linkedin.com/posts/zhu-amanda_the-biggest-unlock-between-1m-and-10m-arr-activity-7323724132573933568-j_-R?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFxEsNYBNWvC4uK5PSM_ZIrfqdHc_Mnvqm4,,
"BREAKING NEWS: We just raised our $38M Series B, led by Bessemer Venture Partners, with HubSpot Ventures and Salesforce Ventures joining the round.

When David Gu and I started Recall.ai, the idea was simple: make meeting data accessible as an API.

Three years later, over 2,000 companies - including HubSpot, ClickUp, and Apollo - have launched AI copilots, agents, sales tools, and more on top of us.

Recall.ai is the API for meeting recording. From Zoom, Google Meet, Microsoft Teams, Slack Hudd",,,,,Magician,Integration/Data,Insight/Observation,Statement → Commentary,Text-only,"BREAKING NEWS: We just raised our $38M Series B, led by Bessemer Venture Partners, with HubSpot Ventures and Salesforce Ventures joining the round.","BREAKING NEWS: We just raised our $38M Series B, led by Bessemer Venture Partners, with HubSpot Ventures and Salesforce Ventures joining the round.

W",,product_led_top50_idea_legos_analysis.csv,4.0,,3145.0,2757.0,302.0,86.0,Fundraising,Founder perspective,Magician,"BREAKING NEWS: We just raised our $38M Series B, led by Bessemer Venture Partners, with HubSpot Ventures and Salesforce Ventures joining the round.  W",Narrative,linkedinVideo,Highly Varied (Musical),https://www.linkedin.com/posts/zhu-amanda_breaking-news-we-just-raised-our-38m-series-activity-7369385104554532870-h-xG?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADxccgQB2oECoB8Ul-wNhTmKexOR7-CtOc0,,
"I’m sick of vague fundraising advice.
So I made the doc I wish someone handed me on Day 1 of our seed raise.

This isn’t a list of feel-good tips.

It’s the actual playbook I used to raise our seed — built from trial, error, and wasted time.

What’s inside:
- How to build an investor list that’s actually relevant
- The cold email that actually gets replies (and intros)
- The questions I now ask to make sure a fund can invest
- The 3 stages of fundraising, and what proof matters at each one
- Wha",,,,,Contrarian,GTM/Sales,Contrarian/Challenge,Listicle/Breakdown,Text-only,I’m sick of vague fundraising advice.,"I’m sick of vague fundraising advice.
So I made the doc I wish someone handed me on Day 1 of our seed raise.

This isn’t a list of feel-good tips.

It",,product_led_top50_idea_legos_analysis.csv,5.0,,3004.0,2770.0,173.0,61.0,Fundraising,Founder perspective,Teacher,I’m sick of vague fundraising advice. So I made the doc I wish someone handed me on Day 1 of our seed raise.  This isn’t a list of feel-good tips.  It,List,image,Highly Varied (Musical),https://www.linkedin.com/posts/zhu-amanda_im-sick-of-vague-fundraising-advice-so-activity-7320462652613234691-M_Cz?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEU0tvgB8JPogFC02vKtYqRqseez8xxMhHw,See image URL,https://media.licdn.com/dms/image/v2/D5610AQE152UL-zepbA/image-shrink_160/B56ZZeB_DzHgAs-/0/1745334302647?e=1770825600&v=beta&t=x6HMD212QjDECNQmKPBcxZ78ray-EXlpy3COtF5vzXY
"If you’re under $1M ARR, stop tracking metrics. They’ll kill your startup.


At $0 ARR, I built dashboards for everything.
CAC. LTV. Retention. Our “north star metric.”

I thought I was being a data-driven founder.
I was just hiding.

Metrics are a mirage when you don’t even have a product that solves a real problem.

I was managing a company I hadn’t even built yet.
Measuring everything except the only thing that mattered: customer pain.

So I scrapped it all.

No more dashboards.
No more fancy",,,,,Contrarian,Startup/Founder,Contrarian/Challenge,Statement → Commentary,Text-only,"If you’re under $1M ARR, stop tracking metrics. They’ll kill your startup.","If you’re under $1M ARR, stop tracking metrics. They’ll kill your startup.


At $0 ARR, I built dashboards for everything.
CAC. LTV. Retention. Our “n",,product_led_top50_idea_legos_analysis.csv,6.0,,1929.0,1710.0,169.0,50.0,Startup Lessons,Contrarian take,Magician,"If you’re under $1M ARR, stop tracking metrics. They’ll kill your startup.   At $0 ARR, I built dashboards for everything. CAC. LTV. Retention. Our “n",Narrative,text,Staccato (Short/Punchy),https://www.linkedin.com/posts/zhu-amanda_if-youre-under-1m-arr-stop-tracking-metrics-activity-7326985629236449281-85zj?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFxEsNYBNWvC4uK5PSM_ZIrfqdHc_Mnvqm4,,
"We just launched Vapi 2.0 🚀

Vapi is voice infrastructure for real-time agents. Vapi agents that can talk, reason, and act with <500ms latency, even across 60+ minute conversations.

Most teams end up gluing together transcription, LLMs, telephony, TTS, state machines, and tool-calls. It’s complex and brittle. Vapi wraps all of that behind a single API.

What’s new in 2.0:
- 100+ model integrations (transcription, LLM, TTS)
- Conversation workflows and knowledge bases
- Vapi voices that sound hu",,,,,Teacher,Engineering/Technical,Insight/Observation,Statement → Commentary,Text-only,We just launched Vapi 2.0 🚀,"We just launched Vapi 2.0 🚀

Vapi is voice infrastructure for real-time agents. Vapi agents that can talk, reason, and act with <500ms latency, even a",,product_led_top50_idea_legos_analysis.csv,7.0,,1817.0,1558.0,185.0,74.0,Hiring,Founder perspective,Fortune Teller,"We just launched Vapi 2.0 🚀  Vapi is voice infrastructure for real-time agents. Vapi agents that can talk, reason, and act with <500ms latency, even a",List,linkedinVideo,Highly Varied (Musical),https://www.linkedin.com/posts/jordandearsley_we-just-launched-vapi-20-vapi-is-voice-ugcPost-7313100427825225728-SEVY?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADs6jaABL787bQYRhLjcBo2NCXWQ0-9LROE,,
"Fortune 100 CEO told me to leave my own demo. In front of my entire team.


Biggest pitch to date. $2.3M enterprise deal.
I’d rehearsed for weeks, knew every slide by heart.

This was their masterclass on ”how to sell to Fortune 100.”

15 minutes in, I’m walking through our endpoints when the CEO cuts me off:
“This is a waste of my time. You clearly don’t understand our business. Justin, can you take over from here?”

Then, looking directly into the camera at me: “Amanda, you can drop off now.”
",,,,,Teacher,GTM/Sales,Insight/Observation,Statement → Commentary,Text-only,Fortune 100 CEO told me to leave my own demo. In front of my entire team.,"Fortune 100 CEO told me to leave my own demo. In front of my entire team.


Biggest pitch to date. $2.3M enterprise deal.
I’d rehearsed for weeks, kne",,product_led_top50_idea_legos_analysis.csv,8.0,,1692.0,1559.0,114.0,19.0,Sales,Founder perspective,Teacher,"Fortune 100 CEO told me to leave my own demo. In front of my entire team.   Biggest pitch to date. $2.3M enterprise deal. I’d rehearsed for weeks, kne",Narrative Arc,text,Highly Varied (Musical),https://www.linkedin.com/posts/zhu-amanda_fortune-100-ceo-told-me-to-leave-my-own-demo-activity-7332783828484202499-W5Ad?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFxp7sYBfVjWhnJhDnuArU5YimZaRl1k-2w,,
"She grilled me for 90 minutes. Argued on price, terms, and payment. Then signed a $120K deal the next day.

The negotiation call was scheduled for 30 minutes. It lasted 97.

Our first deal of the quarter, and it was going terribly.

The VP challenged everything:
– Demanded 90-day payment terms when we needed 30
– Pushed for a 22% discount on already-tight pricing
– Questioned our data retention periods line by line
– Asked for custom SLAs we'd never offered before

My palms were sweating.

At on",,,,,Magician,Leadership/Management,Insight/Observation,Statement → Commentary,Text-only,"She grilled me for 90 minutes. Argued on price, terms, and payment. Then signed a $120K deal the next day.","She grilled me for 90 minutes. Argued on price, terms, and payment. Then signed a $120K deal the next day.

The negotiation call was scheduled for 30",,product_led_top50_idea_legos_analysis.csv,9.0,,1686.0,1571.0,101.0,14.0,Sales,Founder perspective,Magician,"She grilled me for 90 minutes. Argued on price, terms, and payment. Then signed a $120K deal the next day.  The negotiation call was scheduled for 30 ",Narrative Arc,text,Highly Varied (Musical),https://www.linkedin.com/posts/zhu-amanda_she-grilled-me-for-90-minutes-argued-on-activity-7323361745618567169-jxzW?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEU0tvgB8JPogFC02vKtYqRqseez8xxMhHw,,
"99% of people are not cut out to join a startup.


At a startup, things break. Plans change.

You build the plane while flying it, and the destination shifts mid-flight.

That’s not a red flag.
That is the job.

The best startup hires:
- Spot problems and fix them without being asked
- Care more about outcomes than org charts
- Stay calm when everything feels like it’s on fire

If you’re hiring at the early stage, don’t ask:
”Can they do the job?”

Ask:
”Can they define the job?”",,,,,Magician,Leadership/Management,Insight/Observation,Statement → Commentary,Text-only,99% of people are not cut out to join a startup.,"99% of people are not cut out to join a startup.


At a startup, things break. Plans change.

You build the plane while flying it, and the destination",,product_led_top50_idea_legos_analysis.csv,11.0,,1624.0,1434.0,130.0,60.0,Hiring,Data-driven insight,Contrarian,"99% of people are not cut out to join a startup.   At a startup, things break. Plans change.  You build the plane while flying it, and the destination",List,text,Staccato (Short/Punchy),https://www.linkedin.com/posts/zhu-amanda_99-of-people-are-not-cut-out-to-join-a-startup-activity-7314302061691473925-7Xw1?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADs6jaABL787bQYRhLjcBo2NCXWQ0-9LROE,,
"I raised $10M for our Series A last May. It’s outdated now, but here’s the deck. 
Steal what works.

Most founders keep their pitch decks private.
But if you’re fundraising, the best way to learn is to see what actually worked.

This is the deck I used to raise our Series A. Some parts are redacted, but this is what investors saw.

What I got right:
- I made the deck as short as possible. Investors don’t need 30 slides to get to the point.
- I made the problem feel inevitable. The best decks mak",,,,,Magician,Startup/Founder,Insight/Observation,Contrast Format,Text-only,"I raised $10M for our Series A last May. It’s outdated now, but here’s the deck.","I raised $10M for our Series A last May. It’s outdated now, but here’s the deck. 
Steal what works.

Most founders keep their pitch decks private.
But",,product_led_top50_idea_legos_analysis.csv,12.0,,1600.0,1451.0,105.0,44.0,Fundraising,Radical transparency,Magician,"I raised $10M for our Series A last May. It’s outdated now, but here’s the deck.  Steal what works.  Most founders keep their pitch decks private. But",Problem → Solution,document,Balanced,https://www.linkedin.com/posts/zhu-amanda_recall-ai-series-a-deck-redacted-activity-7304880941326376960-3C5P?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD6AlqkB9icFcqPlM-kjsyBUVX9BSRSGwmQ,,
"I dropped out. Built a startup. Don’t do it.


I dropped out of college to go all-in on my first startup.

I thought that’s what it meant to be serious. 
Committed. All in.

We spent two years building.

It failed.

I was devastated.

Not because the company didn’t work.
But because I thought that was my one shot.

It wasn’t.

A few months later, I co-founded Recall.ai .

Here’s the part no one talks about:

Dropping out wasn’t the point.
Going all in was.

You don’t need to quit school. Or burn",,,,,Teacher,Startup/Founder,Insight/Observation,Story → Twist → Lesson,Text-only,I dropped out. Built a startup. Don’t do it.,"I dropped out. Built a startup. Don’t do it.


I dropped out of college to go all-in on my first startup.

I thought that’s what it meant to be seriou",,product_led_top50_idea_legos_analysis.csv,13.0,,1568.0,1426.0,127.0,15.0,Startup Lessons,Personal experience,Teacher,I dropped out. Built a startup. Don’t do it.   I dropped out of college to go all-in on my first startup.  I thought that’s what it meant to be seriou,Narrative,image,Staccato (Short/Punchy),https://www.linkedin.com/posts/zhu-amanda_i-dropped-out-built-a-startup-dont-do-activity-7316476383742808066-gWfn?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFNN5pIBKFA1HzVHAsiEnVTkDyD5rsMWtt0,See image URL,https://media.licdn.com/dms/image/v2/D5610AQFzIIazcCqobw/image-shrink_160/B56ZYlYfyMH0A0-/0/1744383902130?e=1770825600&v=beta&t=981wCb8DMMZlkoCVoHGfcHYem-b1bvYislg0mTqfsfU
"We don’t do free trials.
If you’re not willing to put down a deposit, you’re not serious.

We thought free trials would help close more deals. They didn’t.

What actually happened:
- Unqualified leads flooded in
- Most never even onboarded
- Pipeline clogged with people who were never going to buy

The ones who actually buy are willing to commit upfront.

Now, we do refundable deposits.

- If you use the product and decide it’s not for you, you get your money back
- If you move forward, it rolls",,,,,Teacher,GTM/Sales,Insight/Observation,Listicle/Breakdown,Text-only,We don’t do free trials.,"We don’t do free trials.
If you’re not willing to put down a deposit, you’re not serious.

We thought free trials would help close more deals. They di",,product_led_top50_idea_legos_analysis.csv,15.0,,1261.0,1103.0,136.0,22.0,Sales,Founder perspective,Teacher,"We don’t do free trials. If you’re not willing to put down a deposit, you’re not serious.  We thought free trials would help close more deals. They di",List,text,Highly Varied (Musical),https://www.linkedin.com/posts/zhu-amanda_we-dont-do-free-trials-if-youre-not-willing-activity-7306691902127423488-C4E-?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD6AlqkB9icFcqPlM-kjsyBUVX9BSRSGwmQ,,
"""First you build the product""
""Then you build the team"" ← We're here
""Finally you build the company"" ← Also starting to feel this

I'm so Fing proud of the Pylon team.

Everyone is working really hard. 

Thank you all 🫶",,,,,Teacher,Product/Growth,Insight/Observation,Statement → Commentary,Text-only,"""First you build the product""","""First you build the product""
""Then you build the team"" ← We're here
""Finally you build the company"" ← Also starting to feel this

I'm so Fing proud o",,product_led_top50_idea_legos_analysis.csv,16.0,,1247.0,1152.0,82.0,13.0,Hiring,Founder perspective,Teacher,"""First you build the product"" ""Then you build the team"" ← We're here ""Finally you build the company"" ← Also starting to feel this  I'm so Fing proud o",Narrative Arc,image,Staccato (Short/Punchy),https://www.linkedin.com/posts/martykausas_first-you-build-the-product-then-you-build-activity-7363238274850590720-TYhU?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF_J15MBzS12u6VE16sLLHw4FYwCsunT-QI,See image URL,https://media.licdn.com/dms/image/v2/D5610AQFLW4WROLmr8A/image-shrink_480/B56Zi96MA9HUAo-/0/1755532805566?e=1770825600&v=beta&t=3dQuVdTFYSlDvyOkL3HDU9ANnkGwmydcFqyy5QQ-vFA
