rank,author,outlier_score,likes,comments,total_engagement,hook_type,topic,angle,structure,first_line,hook_150,full_text,url
26,Fidji Simo,0.9,975,36,1035,Fortune Teller,Content / Brand,Future Prediction,Hook -> Punch Line,"Very excited to unveil our Instacart Developer Platform so that third party apps - from Weight Watchers to New York Times Cooking to GE Appliances - can turn their food discovery apps into food delivery apps, leveraging all the leading capabilities we’ve built over the last decade. I can’t wait to see the kind of innovation that Instacart will power.",Very excited to unveil our Instacart Developer Platform so that third party apps - from Weight Watchers to New York Times Cooking to GE Appliances - c,"Very excited to unveil our Instacart Developer Platform so that third party apps - from Weight Watchers to New York Times Cooking to GE Appliances - can turn their food discovery apps into food delivery apps, leveraging all the leading capabilities we’ve built over the last decade. I can’t wait to see the kind of innovation that Instacart will power.",https://www.linkedin.com/posts/fidjisimo_instacart-wants-to-be-everywhere-from-smart-activity-7178866147071594497-dSal?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFsquNIBL-Bah7UT0aAl0gV3gz4HeyE43g0
27,Fidji Simo,0.9,968,29,1006,Teacher,Entrepreneurship,Thought Leadership,Hook -> Insight -> Close,So so proud of Vijaye Raji for taking Statsig to new heights and realizing his dream of creating a highly successful company that’s helping tons of startups make better data-driven decisions. He’s one of my very favorite people and there is no greater joy than seeing amazing people do their magic. I still remember the many times when we talked about him becoming a founder (despite me trying to keep him at Facebook for as long as I could). It was so fun to speak at his conference this morning - truly a full-circle moment. ❤️,So so proud of Vijaye Raji for taking Statsig to new heights and realizing his dream of creating a highly successful company that’s helping tons of st,So so proud of Vijaye Raji for taking Statsig to new heights and realizing his dream of creating a highly successful company that’s helping tons of startups make better data-driven decisions. He’s one of my very favorite people and there is no greater joy than seeing amazing people do their magic. I still remember the many times when we talked about him becoming a founder (despite me trying to keep him at Facebook for as long as I could). It was so fun to speak at his conference this morning - truly a full-circle moment. ❤️,https://www.linkedin.com/posts/fidjisimo_so-so-proud-of-vijaye-raji-for-taking-statsig-activity-7244780315158708225-6i8H?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADRLxmYBjQllh69blscrM6WMVeCVic4YoOs
28,Fidji Simo,0.9,913,43,974,Teacher,AI / Tech,Thought Leadership,Hook -> Punch Line,"Honored to share my essay in l'Opinion’s special issue on AI leaders in Europe. I wrote about why AI’s greatest promise lies in making opportunities more widely shared, and the role that France and Europe can play in shaping that future. As someone deeply proud to be French, it’s inspiring to see how our country’s values and creativity are shaping the future of AI.",Honored to share my essay in l'Opinion’s special issue on AI leaders in Europe. I wrote about why AI’s greatest promise lies in making opportunities m,"Honored to share my essay in l'Opinion’s special issue on AI leaders in Europe. I wrote about why AI’s greatest promise lies in making opportunities more widely shared, and the role that France and Europe can play in shaping that future. As someone deeply proud to be French, it’s inspiring to see how our country’s values and creativity are shaping the future of AI.
You can read it here:",https://www.linkedin.com/posts/fidjisimo_making-ai-a-shared-opportunity-fidji-simo-activity-7381781671211233280-tAKp?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFjBloEBCoRBULr0MiXfwMUhIt-tIPpF5F8
29,Fidji Simo,0.9,880,57,965,Teacher,AI / Tech,Direct Advice,Hook -> Punch Line,"You can now use ChatGPT with your friends! Group chats are now rolling out globally to Free, Go, Plus and Pro plans so you can make ChatGPT a multiplayer experience when you want. More on that here:","You can now use ChatGPT with your friends! Group chats are now rolling out globally to Free, Go, Plus and Pro plans so you can make ChatGPT a multipla","You can now use ChatGPT with your friends! Group chats are now rolling out globally to Free, Go, Plus and Pro plans so you can make ChatGPT a multiplayer experience when you want. More on that here:",https://www.linkedin.com/posts/fidjisimo_a-new-way-to-collaborate-in-chatgpt-activity-7397317842439790592-X8HY?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAAZHa_MBjyPSifUwtJTumM7WvyEQp1ka14g
30,Fidji Simo,0.8,859,40,913,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,Three months at OpenAI already! I shared more of our plans with WIRED.,Three months at OpenAI already! I shared more of our plans with WIRED.,Three months at OpenAI already! I shared more of our plans with WIRED.,https://www.linkedin.com/posts/fidjisimo_openais-fidji-simo-plans-to-make-chatgpt-activity-7396451866978672640-pBzP?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFjBloEBCoRBULr0MiXfwMUhIt-tIPpF5F8
31,Fidji Simo,0.8,854,12,869,Fortune Teller,Finance / Money,Future Prediction,Hook -> Insight -> Close,"On the heels of our public debut earlier this week, I’m thrilled to welcome a new (but very familiar!) face to Instacart’s Board of Directors - Ravi Gupta, Partner at Sequoia Capital.","On the heels of our public debut earlier this week, I’m thrilled to welcome a new (but very familiar!) face to Instacart’s Board of Directors - Ravi G","On the heels of our public debut earlier this week, I’m thrilled to welcome a new (but very familiar!) face to Instacart’s Board of Directors - Ravi Gupta, Partner at Sequoia Capital. 

Sequoia has been a long-term investor and a critical partner that has supported Instacart at every turn. As Instacart’s former CFO and COO, Ravi also has a deep understanding of our business. 

On a personal note, Ravi was incredibly helpful when I joined Instacart as CEO years ago, and he quickly became a trusted advisor on the business.

Welcome, Ravi - we’re thrilled to have you back at our table!",https://www.linkedin.com/posts/fidjisimo_instacart-names-sequoia-partner-ex-coo-ravi-activity-7111017838257086464-14LV?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADDbKyUBliJAU6h5u1uTmkzg1K3FEkbghHU
32,Fidji Simo,0.8,806,44,862,Teacher,AI / Tech,First-Person Insight,Hook -> Punch Line,"This summer, I had the pleasure of welcoming Bloomberg and Emily Chang to my hometown of Sète, making them discover our wonderful food specialties and fish market, all while discussing about technology and the future of Instacart. Excited to see this episode live today, and thanks Emily and team for the experience!","This summer, I had the pleasure of welcoming Bloomberg and Emily Chang to my hometown of Sète, making them discover our wonderful food specialties and","This summer, I had the pleasure of welcoming Bloomberg and Emily Chang to my hometown of Sète, making them discover our wonderful food specialties and fish market, all while discussing about technology and the future of Instacart. Excited to see this episode live today, and thanks Emily and team for the experience!",https://www.linkedin.com/posts/fidjisimo_instacarts-ceo-brings-french-style-to-silicon-activity-7265515471959912448-OwVL?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADVQx30BSKw-4RPuvwIzJnoG8AqJtvBc4vY
33,Fidji Simo,0.8,767,64,855,Magician,AI / Tech,Pattern Interrupt,Hook -> Punch Line,Some highlights of our Enterprise report:,"Some highlights of our Enterprise report: • 75% of workers say AI improves the speed or quality of their work, saving 40–60 minutes a day • Heavy user","Some highlights of our Enterprise report:
• 75% of workers say AI improves the speed or quality of their work, saving 40–60 minutes a day
• Heavy users save 10+ hours per week
• Coding-related messages from non-technical roles are up 36%
• 75% say they can now complete tasks they previously couldn’t

https://lnkd.in/gYKyaqra",https://www.linkedin.com/posts/fidjisimo_some-highlights-of-our-enterprise-report-activity-7403765345716731904-IRKJ?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAAZHa_MBjyPSifUwtJTumM7WvyEQp1ka14g
34,Fidji Simo,0.8,811,19,842,Teacher,Leadership,Thought Leadership,Hook -> Insight -> Close,"Big week for Instacart in Cannes! Retail media was the topic all brands wanted to talk about; between ads on Instacart across our 1,500+ retailers, ads on retailers’ sites that we power, ads on our Caper carts in-store, and our retail media data powering ads on Google, YouTube, NBCu and more, Instacart is at the center of this conversation. We’re also starting to see real convergence of retail media teams and budgets with digital media ones, and CMOs and Chief Commercial Officers aligning their strategies more aggressively. It reminds me of the similar journey we went through at Facebook, where social/digital started as a small budget on the side, then became the heart of most media departments. It was incredibly fun to talk about these trends at WPP Beach with Adam Gerhart, and I’m so proud of the team for showcasing our work so well.","Big week for Instacart in Cannes! Retail media was the topic all brands wanted to talk about; between ads on Instacart across our 1,500+ retailers, ad","Big week for Instacart in Cannes! Retail media was the topic all brands wanted to talk about; between ads on Instacart across our 1,500+ retailers, ads on retailers’ sites that we power, ads on our Caper carts in-store, and our retail media data powering ads on Google, YouTube, NBCu and more, Instacart is at the center of this conversation. We’re also starting to see real convergence of retail media teams and budgets with digital media ones, and CMOs and Chief Commercial Officers aligning their strategies more aggressively. It reminds me of the similar journey we went through at Facebook, where social/digital started as a small budget on the side, then became the heart of most media departments. It was incredibly fun to talk about these trends at WPP Beach with Adam Gerhart, and I’m so proud of the team for showcasing our work so well.",https://www.linkedin.com/posts/fidjisimo_big-week-for-instacart-in-cannes-retail-activity-7209186853621571584-JqBc?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFsquNIBL-Bah7UT0aAl0gV3gz4HeyE43g0
35,Fidji Simo,0.7,760,29,803,Teacher,Motherhood / Family,Thought Leadership,Hook -> List -> Insight,"I had the privilege of delivering the commencement speech for the HEC Paris Class of 2025. These students are entering the workforce at a time of great transformation; in my speech, I give them some guidance on how to embrace this moment as the greatest accelerant to human potential, reconnect with their own power to create, and usher in their own golden age of creation. I can’t wait to see what they put out into the world!",I had the privilege of delivering the commencement speech for the HEC Paris Class of 2025. These students are entering the workforce at a time of grea,"I had the privilege of delivering the commencement speech for the HEC Paris Class of 2025. These students are entering the workforce at a time of great transformation; in my speech, I give them some guidance on how to embrace this moment as the greatest accelerant to human potential, reconnect with their own power to create, and usher in their own golden age of creation. I can’t wait to see what they put out into the world!",https://www.linkedin.com/posts/fidjisimo_the-golden-age-of-creation-fidji-simo-activity-7341046164835680256--O1V?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8SUUgBx-GWgM3RlL9OxgG4agNJ3pLcPEE
36,Fidji Simo,0.7,764,34,800,Teacher,AI / Tech,Thought Leadership,Hook -> Insight -> Close,"I was honored to speak at VivaTech today. I joined the wonderful Anthony Morel for a conversation about what it means to build at the intersection of retail, AI, and everyday life. We covered the transformation of Instacart into a grocery technology company, the future of in-store shopping powered by products like Instacart’s Caper Carts, how AI can be an augmentation layer, and the responsibility we carry as AI capabilities advance globally.",I was honored to speak at VivaTech today. I joined the wonderful Anthony Morel for a conversation about what it means to build at the intersection of ,"I was honored to speak at VivaTech today. I joined the wonderful Anthony Morel for a conversation about what it means to build at the intersection of retail, AI, and everyday life. We covered the transformation of Instacart into a grocery technology company, the future of in-store shopping powered by products like Instacart’s Caper Carts, how AI can be an augmentation layer, and the responsibility we carry as AI capabilities advance globally.

Merci to the VivaTech team and also to Thomas Urbain for a well-timed look at my career journey in AFP today - and thanks to my amazing colleagues David Marcus and Julien Codorniou for their contributions; very lucky to have worked with brilliant, supportive people throughout my career.",https://www.linkedin.com/posts/fidjisimo_from-fishing-family-to-big-tech-french-ceo-activity-7338942442626347009-ICjG?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8SUUgBx-GWgM3RlL9OxgG4agNJ3pLcPEE
37,Fidji Simo,0.7,717,48,778,Teacher,Entrepreneurship,Thought Leadership,Hook -> Insight -> Close,"Paul Graham’s “founder mode” essay made the rounds in the Valley (and beyond) this weekend. There is such magic in many founder-driven companies, but I strongly believe that we need non-founders to also act with a founder-mode mindset. With the right incentives, founder-led tech companies could become breeding grounds for other founder-mode leaders and CEOs. I saw this first hand at Meta, where Zuck made bets on entrepreneurial people and rewarded those of us who brought new products and businesses from 0-to-1, more than he valued team size or other “manager mode” proxies for success. I wrote more about this The Information today:","Paul Graham’s “founder mode” essay made the rounds in the Valley (and beyond) this weekend. There is such magic in many founder-driven companies, but ","Paul Graham’s “founder mode” essay made the rounds in the Valley (and beyond) this weekend. There is such magic in many founder-driven companies, but I strongly believe that we need non-founders to also act with a founder-mode mindset. With the right incentives, founder-led tech companies could become breeding grounds for other founder-mode leaders and CEOs. I saw this first hand at Meta, where Zuck made bets on entrepreneurial people and rewarded those of us who brought new products and businesses from 0-to-1, more than he valued team size or other “manager mode” proxies for success. I wrote more about this The Information today:",https://www.linkedin.com/posts/fidjisimo_founder-mode-shouldnt-be-just-for-founders-activity-7236829895526400001-G1J1?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADRLxmYBjQllh69blscrM6WMVeCVic4YoOs
38,Fidji Simo,0.7,703,30,757,Teacher,Leadership,Thought Leadership,Hook -> Insight -> Close,"The future of grocery isn’t going to be a choice between offline and online — it's going to be omnichannel. Retailers and brands who create a seamless experience across online and the store will gain an edge, and Instacart's technologies are helping them gain that edge. Introducing ads to our in-store Caper Carts marks the next, exciting phase of our Connected Stores strategy. With ads on Caper Carts, we’re combining the best of in-store shopping — getting inspired as you browse the aisles — with the best of online advertising: personalization, measurability, and targetability. I caught up with Caroline Hyde to share more on our strategy - thanks for the great conversation, Caroline!",The future of grocery isn’t going to be a choice between offline and online — it's going to be omnichannel. Retailers and brands who create a seamless,"The future of grocery isn’t going to be a choice between offline and online — it's going to be omnichannel. Retailers and brands who create a seamless experience across online and the store will gain an edge, and Instacart's technologies are helping them gain that edge. Introducing ads to our in-store Caper Carts marks the next, exciting phase of our Connected Stores strategy. With ads on Caper Carts, we’re combining the best of in-store shopping — getting inspired as you browse the aisles — with the best of online advertising: personalization, measurability, and targetability. I caught up with Caroline Hyde to share more on our strategy - thanks for the great conversation, Caroline!",https://www.linkedin.com/posts/fidjisimo_self-checkout-carts-lead-to-more-sales-says-activity-7150216568621158400-XdhE?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC2YztMBWYYcZ4Slj-rXHa8LaAFoM32zLlU
39,Fidji Simo,0.7,649,12,717,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,"It has been beyond devastating to see the extreme damage caused by the Los Angeles wildfires. To help do our part and offer support, Instacart is waiving delivery fees on groceries and other essential goods for orders over $10 in Los Angeles County. We hope that this provides some small relief to those navigating such a difficult time. Please share with whoever needs this.","It has been beyond devastating to see the extreme damage caused by the Los Angeles wildfires. To help do our part and offer support, Instacart is waiv","It has been beyond devastating to see the extreme damage caused by the Los Angeles wildfires. To help do our part and offer support, Instacart is waiving delivery fees on groceries and other essential goods for orders over $10 in Los Angeles County. We hope that this provides some small relief to those navigating such a difficult time. Please share with whoever needs this.",https://www.linkedin.com/posts/fidjisimo_it-has-been-beyond-devastating-to-see-the-activity-7283360073676922880-XRkM?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE0Wae8Bdw49TBBX9odwCVUCDyBMCOF71rc
40,Fidji Simo,0.6,552,82,666,Fortune Teller,AI / Tech,Future Prediction,Hook -> Punch Line,"So happy to see our Ask Instacart feature live in the app for consumers, and even more excited to see all the ways it will help make meal planning easier, faster and more inspiring for families (mine included!). More on the new feature and our partnership with OpenAI from Instacart Chief Architect JJ Zhuang via TechCrunch below. There’s so much more to come with AI and the future of food, health and Instacart - proud of this first step.","So happy to see our Ask Instacart feature live in the app for consumers, and even more excited to see all the ways it will help make meal planning eas","So happy to see our Ask Instacart feature live in the app for consumers, and even more excited to see all the ways it will help make meal planning easier, faster and more inspiring for families (mine included!). More on the new feature and our partnership with OpenAI from Instacart Chief Architect JJ Zhuang via TechCrunch below. There’s so much more to come with AI and the future of food, health and Instacart - proud of this first step.",https://www.linkedin.com/posts/fidjisimo_instacart-launches-new-in-app-ai-search-tool-activity-7069697123507703808-MF3J?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADDbKyUBliJAU6h5u1uTmkzg1K3FEkbghHU
41,Fidji Simo,0.6,621,26,659,Teacher,Personal Development,Direct Advice,Hook -> Punch Line,"When you focus on the obstacles, they look bigger and things get harder. When you focus on your destination, the obstacles look smaller and you can find solutions to each one. Thank you, Chief, for the opportunity to talk about the importance of this mindset throughout my life!","When you focus on the obstacles, they look bigger and things get harder. When you focus on your destination, the obstacles look smaller and you can fi","When you focus on the obstacles, they look bigger and things get harder. When you focus on your destination, the obstacles look smaller and you can find solutions to each one. Thank you, Chief, for the opportunity to talk about the importance of this mindset throughout my life!",https://www.linkedin.com/posts/fidjisimo_chief-why-instacart-ceo-fidji-simo-believes-activity-7227811493373747200-8fmP?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADRLxmYBjQllh69blscrM6WMVeCVic4YoOs
42,Fidji Simo,0.6,532,14,631,Teacher,Philanthropy / Cause,Direct Advice,Hook -> Insight -> Close,"You can now donate the exact groceries and supplies that emergency centers in LA desperately need, and we’ll deliver these for you with no delivery or service fees. At Instacart we believe one of the most noble things one can do is to help feed others, and now is a critical time to do so.","You can now donate the exact groceries and supplies that emergency centers in LA desperately need, and we’ll deliver these for you with no delivery or","You can now donate the exact groceries and supplies that emergency centers in LA desperately need, and we’ll deliver these for you with no delivery or service fees. At Instacart we believe one of the most noble things one can do is to help feed others, and now is a critical time to do so. 

We’re also continuing to waive delivery fees on groceries and other essential goods for orders over $10 in Los Angeles County. 

Please share for everyone looking to contribute to relief efforts in a way that will make a huge difference: https://lnkd.in/gPfVcQ9A.",https://www.linkedin.com/posts/fidjisimo_instacart-launches-community-carts-for-10-activity-7284332439945068544-T9Z7?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE0Wae8Bdw49TBBX9odwCVUCDyBMCOF71rc
43,Fidji Simo,0.5,546,40,594,Teacher,AI / Tech,Thought Leadership,Hook -> Story -> Lesson,"As much as it is important to celebrate successes, leadership is also about reflecting on the failures, pivots, and things that require many tries to get right. Hard things often do.","As much as it is important to celebrate successes, leadership is also about reflecting on the failures, pivots, and things that require many tries to ","As much as it is important to celebrate successes, leadership is also about reflecting on the failures, pivots, and things that require many tries to get right. Hard things often do. 

After being diagnosed with POTS, I embarked on a mission to find cures for neuroimmune conditions, which are debilitating, and chronically understudied. I asked so many pharma companies why they weren't prioritizing conditions that affect 10s of millions of people in the U.S. alone, and the answer was clear: there simply was not enough high-quality data on the biological mechanisms behind these conditions, preventing pharma from identifying good targets and drugs. 

We decided to change this. In 2023, we proudly opened the doors to Metrodora, a state-of-the-art institute in Salt Lake City, to provide multidisciplinary clinical care for these patients, and allow them to volunteer their data and participate in research.

For two years, we tried everything to make the clinic work. We poured tens of millions of dollars into it, tried to reinvent how care can be delivered, explored every possible business model. Yet we could not find a way to make it sustainable. We offered insurance for everyone to have access, but insurance covers only a very small % of the cost of giving these complex patients the care that they so rightfully deserve. While the clinic was supposed to help fund the much-needed research, all of our funds were spent trying to keep the clinic alive instead, with no hope for sustainability and without being able to live up to the level of care we so badly wanted to give patients. 

This month we made the difficult decision to stop clinical services and to focus entirely on research. Research is critical and cures are what patients ultimately need. Yet I am still very disappointed that we couldn't crack a clinical model to help patients in the meantime, despite our determination. I really hope to see structural changes to the healthcare system, so other people can pick up that fight and make it happen better than we could. 

As for what's next: we’re going back to the core priority of gathering high quality data to understand these conditions better, and we’ve made tremendous progress there. With the right data, AI provides an incredible opportunity to uncover new biological mechanisms. We’re more determined than ever to build the most comprehensive data platform for neuroimmune conditions. We’ll continue to use our clinic as a clinical trial site and partner with other clinics as well. We’ll have more to announce on this soon. 

I'm really hopeful that the advances in AI will allow us to understand biology much faster and accelerate the timeline for cures. Too many patients are living with debilitating symptoms (see article below) because treatments are not coming fast enough. So no matter what the obstacles, failures, bumps in the roads are, I will never stop fighting until we've eradicated these and all diseases.",https://www.linkedin.com/posts/fidjisimo_ignored-blamed-and-sometimes-left-to-die-activity-7335319297008771075-hqaT?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8SUUgBx-GWgM3RlL9OxgG4agNJ3pLcPEE
44,Fidji Simo,0.5,554,24,584,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,Thanks Chief for including me in your top 50 execs for The New Era of Leadership awards!,Thanks Chief for including me in your top 50 execs for The New Era of Leadership awards!,Thanks Chief for including me in your top 50 execs for The New Era of Leadership awards!,https://www.linkedin.com/posts/fidjisimo_fidji-simo-the-new-era-of-leadership-activity-7196572692332838912-MhbE?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFsquNIBL-Bah7UT0aAl0gV3gz4HeyE43g0
45,Fidji Simo,0.5,543,9,573,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> Punch Line,"So proud to see the power of Community Carts coming to life in real-time for LA last week. Nearly 6,000 orders and over 45,000 items in one week — and we’re not done yet. LA still needs us. New Yorkers can catch a reminder of the power of community giving in Times Square today and anyone can head to https://lnkd.in/g-rk-t4j to send a cart of their own.","So proud to see the power of Community Carts coming to life in real-time for LA last week. Nearly 6,000 orders and over 45,000 items in one week — and","So proud to see the power of Community Carts coming to life in real-time for LA last week. Nearly 6,000 orders and over 45,000 items in one week — and we’re not done yet. LA still needs us. New Yorkers can catch a reminder of the power of community giving in Times Square today and anyone can head to https://lnkd.in/g-rk-t4j to send a cart of their own.",https://www.linkedin.com/posts/fidjisimo_so-proud-to-see-the-power-of-community-carts-activity-7287891775585755137-VAKo?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE0Wae8Bdw49TBBX9odwCVUCDyBMCOF71rc
46,Fidji Simo,0.5,536,28,570,Teacher,AI / Tech,Thought Leadership,Hook -> Punch Line,"50 years ago, the first barcode was scanned at a grocery store in Ohio —  a pack of Juicy Fruit. Today, another digital transformation is in progress, with AI poised to shape the next 50 years of retail.","50 years ago, the first barcode was scanned at a grocery store in Ohio —  a pack of Juicy Fruit. Today, another digital transformation is in progress,","50 years ago, the first barcode was scanned at a grocery store in Ohio —  a pack of Juicy Fruit. Today, another digital transformation is in progress, with AI poised to shape the next 50 years of retail.",https://www.linkedin.com/posts/fidjisimo_50-years-ago-the-first-barcode-was-scanned-activity-7211770454691184640-ZVF1?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADRLxmYBjQllh69blscrM6WMVeCVic4YoOs
47,Fidji Simo,0.5,517,35,559,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,Being back in my hometown of Sète reminded me of all the leadership lessons I learned from the fishing boat captains in my family and use every day. Sharing them with everyone in my newsletter today!,Being back in my hometown of Sète reminded me of all the leadership lessons I learned from the fishing boat captains in my family and use every day. S,Being back in my hometown of Sète reminded me of all the leadership lessons I learned from the fishing boat captains in my family and use every day. Sharing them with everyone in my newsletter today!,https://www.linkedin.com/posts/fidjisimo_being-back-in-my-hometown-of-s%C3%A8te-reminded-activity-7216469056197943297-CtCi?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADRLxmYBjQllh69blscrM6WMVeCVic4YoOs
48,Fidji Simo,0.5,477,20,546,Teacher,Business Strategy,Thought Leadership,Hook -> Punch Line,"So incredibly pumped for our first ever Super Bowl commercial! Watch it below, and during the game! Our marketing team really outdid themselves. And it was so insanely fun to be on the shoot (and meet the Old Spice Man 🤩).","So incredibly pumped for our first ever Super Bowl commercial! Watch it below, and during the game! Our marketing team really outdid themselves. And i","So incredibly pumped for our first ever Super Bowl commercial! Watch it below, and during the game! Our marketing team really outdid themselves. And it was so insanely fun to be on the shoot (and meet the Old Spice Man 🤩).",https://www.linkedin.com/posts/fidjisimo_watch-iconic-mascots-pillsbury-doughboy-activity-7290759876144771072-3XW0?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE0Wae8Bdw49TBBX9odwCVUCDyBMCOF71rc
49,Fidji Simo,0.5,472,37,536,Fortune Teller,AI / Tech,Future Prediction,Hook -> Punch Line,"The future of grocery is both online and in store, and AI has an important role to play in powering the experience — no matter how you choose to shop.","The future of grocery is both online and in store, and AI has an important role to play in powering the experience — no matter how you choose to shop.","The future of grocery is both online and in store, and AI has an important role to play in powering the experience — no matter how you choose to shop. 

I’m excited to share more on how AI can enhance the consumer shopping experience online and in store, bridge the gap between those shopping experiences, and help retailers optimize their in-store operations in today’s newsletter:",https://www.linkedin.com/posts/fidjisimo_the-future-of-grocery-is-both-online-and-activity-7087468798609428480-Wq8_?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADDbKyUBliJAU6h5u1uTmkzg1K3FEkbghHU
50,Fidji Simo,0.5,468,15,502,Teacher,Content / Brand,Thought Leadership,Hook -> Punch Line,"Instacart + WeightWatchers = match made in heaven! The Instacart Developer Platform allows WeightWatchers members to browse 'Points'-friendly recipes directly in the WW app, shop ingredients, and get everything delivered to their doors via Instacart. Excited about this!",Instacart + WeightWatchers = match made in heaven! The Instacart Developer Platform allows WeightWatchers members to browse 'Points'-friendly recipes ,"Instacart + WeightWatchers = match made in heaven! The Instacart Developer Platform allows WeightWatchers members to browse 'Points'-friendly recipes directly in the WW app, shop ingredients, and get everything delivered to their doors via Instacart. Excited about this!",https://www.linkedin.com/posts/fidjisimo_making-nutritious-delicious-choices-easier-activity-7186422566012555265-DgiR?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFsquNIBL-Bah7UT0aAl0gV3gz4HeyE43g0
51,Fidji Simo,0.4,458,29,496,Fortune Teller,Philanthropy / Cause,Milestone Announcement,Hook -> Insight -> Close,"One year ago, we launched Instacart Health, introducing a new technology infrastructure that today is powering high-impact food as medicine and nutrition intervention programs across the U.S. It’s been a big year for Instacart Health, and a critically important year in healthcare as even more players began to focus on connecting food and nutrition to health outcomes. We’re seeing providers, payers, nonprofits, and research institutes (this list goes on!) putting more resources than ever before behind scaling these programs — and we’re proud to help them do it.","One year ago, we launched Instacart Health, introducing a new technology infrastructure that today is powering high-impact food as medicine and nutrit","One year ago, we launched Instacart Health, introducing a new technology infrastructure that today is powering high-impact food as medicine and nutrition intervention programs across the U.S. It’s been a big year for Instacart Health, and a critically important year in healthcare as even more players began to focus on connecting food and nutrition to health outcomes. We’re seeing providers, payers, nonprofits, and research institutes (this list goes on!) putting more resources than ever before behind scaling these programs — and we’re proud to help them do it. 

The one-year anniversary of Instacart Health felt like the perfect time to share an update on all the progress we’ve made and all the collaborative work we still have to do. More on this in my newsletter today:",https://www.linkedin.com/posts/fidjisimo_one-year-ago-we-launched-instacart-health-activity-7120803630957395968-AjS-?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADDbKyUBliJAU6h5u1uTmkzg1K3FEkbghHU
52,Fidji Simo,0.4,446,32,490,Teacher,AI / Tech,Thought Leadership,Hook -> Punch Line,Proud of the team’s latest work applying AI to create a more personalized experience on Instacart that supports people’s health and dietary preferences. I wrote about why we need to do more as a country to accelerate food as medicine programs and how Instacart’s technology can help.,Proud of the team’s latest work applying AI to create a more personalized experience on Instacart that supports people’s health and dietary preference,Proud of the team’s latest work applying AI to create a more personalized experience on Instacart that supports people’s health and dietary preferences. I wrote about why we need to do more as a country to accelerate food as medicine programs and how Instacart’s technology can help.,https://www.linkedin.com/posts/fidjisimo_proud-of-the-teams-latest-work-applying-activity-7307797470871240704-1U1c?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADEuMPsBItO1Ss0Do7bk9itVdUQhkJsHebI
53,Fidji Simo,0.4,454,19,483,Teacher,Motherhood / Family,Thought Leadership,Hook -> Punch Line,Big moment for our ads ecosystem: Instacart Ads x Uber Eats now live for CPGs of all sizes 💪,Big moment for our ads ecosystem: Instacart Ads x Uber Eats now live for CPGs of all sizes 💪,Big moment for our ads ecosystem: Instacart Ads x Uber Eats now live for CPGs of all sizes 💪,https://www.linkedin.com/posts/fidjisimo_uber-advertising-taps-instacart-carrot-ads-activity-7315769201753808897-vaKS?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADEuMPsBItO1Ss0Do7bk9itVdUQhkJsHebI
