rank,author,outlier_score,likes,comments,total_engagement,hook_type,topic,angle,structure,first_line,hook_150,full_text,url
28,Codie A. Sanchez,1.2,1794,365,2234,Teacher,AI / Tech,Thought Leadership,Hook -> List -> Insight,There’s no such thing as the right or wrong business.,There’s no such thing as the right or wrong business.  There’s only the business that’s right or wrong for you.  One of the most common DMs I get is: ,"There’s no such thing as the right or wrong business.

There’s only the business that’s right or wrong for you.

One of the most common DMs I get is:

""Should I buy a laundromat, car wash, or storage units?""

But that's totally the wrong question to begin with...because everyone has different goals.

That’s why I created the Contrarian Deal Clarity Framework to help first time owners buy a biz.

You need to define 5 components:

1. Your Ideal Owner Experience

Saying “I want to leave my 9-5” is too wishy-washy.

To trade in your W2 form, your vision board needs to be specific on three things:

- Personal goals (do you want more family time or grind for yourself)
- Income goals (replace your $75k salary or build an empire)
- Business goals (be a hands-on operator or absentee owner)

2. Your Zone of Genius

Think of this as the intersection between:

- Passion (what you love)
- Skills & Experience (what you’re good at)
- Network (who you know)

Most people ignore this and buy businesses they eventually hate running.

Don’t be most people.

3. Business Size

It’s easy to fantasize about buying a Fortune 500 company.

But we’re not playing the billionaire game here.

As a first-time time buyer, look for micro acquisitions:

- <$1M cost
- $50K-$200K profits
- 1-3X multiples

Less competition, more opportunity, fewer headaches.

4. Profit

Remember...you’re not just buying a business for the sake of it.

Your acquisition MUST be an income stream that can cover:

1. Debt service
2. Operator salary (if relevant)
3. Growth/working capital
4. Your earnings

Use these two tests to evaluate if a deal is worth looking at:

The SOWS Test

Before I buy anything, I ask if the business is:

- Stale - Does the owner still use fax machines
- Old - Is it 5+ years old with repeat customers
- Weak - Does competition suck at marketing
- Simple - Can an 8-year-old could understand it

The more boxes it checks, the better.

The BRIT Test

Then I check to see if it’s BRIT:

- Buy - Must be a cashflow, not cash-suck businesses
- Resist - Recession-proof
- Increase - Can I raise prices (most owners undercharge by 30%)
- Tech - Can I add simple technology to improve it?

5. Industry

There are certain industries you should avoid for your first biz.

Think restaurants or hotels...

On the flip side, these are my favorite businesses for first-time buyers:

- Digital Businesses (build once, sell forever)
- Home Services (roof repair / lawn care)
- Professional Services (e.g CPAs)
- Real Estate Enhanced (laundromats/car washes)

Once you get clear on your Deal Box, you stop wasting time on deals that don’t fit your criteria and get closer to buying the biz that FEELs right.

↓↓↓

Want to go even deeper than this post did?...

Next week, I'm running a Masterclass breaking down exactly how to buy the perfect business for YOU. 

Check it out: https://lnkd.in/g3V6NrTZ",https://www.linkedin.com/posts/codiesanchez_theres-no-such-thing-as-the-right-or-wrong-activity-7417566250660282368-JS0L?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF0xL_oByCbKvMWnw2gqp5d9JJD_HZczzDg
29,Codie A. Sanchez,1.2,1662,482,2221,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> Insight -> Question,Money = options. Poverty = trapped.,Money = options. Poverty = trapped.  It's not the money we want. It's the freedom.  ↓ ↓ ↓  You’re either the hammer or the nail.  Hammers make things ,"Money = options. Poverty = trapped.

It's not the money we want. It's the freedom.

↓ ↓ ↓

You’re either the hammer or the nail.

Hammers make things happen. They drive the point home. They aren’t afraid to swing hard, take calculated risks, and make an impact. They don’t wait for things to happen; they make things happen.

Nails? They get pounded. They hold things in place, but only because *someone else* decided that’s where they should be.

Nails wait for instructions. They stay put, keep their heads down, and hope they don’t get bent out of shape. Nails might hold things together, but hammers built the house.

No one remembers the nails — they remember who hammered them in.

It can be easy to look at the work of a hammer and think, “Must be nice.” But don’t be mistaken, the toll on a hammer is rough.

What you don’t see are the years of blunt force trauma on the hammer’s head, face, neck, cheek, throat, eye, and claw (all real parts of a hammer). Years of being thrown around. Years of missing the mark and smashing a finger.

Are you starting to get it now?

Hammers are owners.

Nails? The owned.

(PS: This is an excerpt straight from my newsletter. Get it every Thursday here → https://lnkd.in/euh-mDd8)",https://www.linkedin.com/posts/codiesanchez_money-options-poverty-trapped-its-activity-7398722129887875072-rnyh?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE0B4ksBsfe1athTetp5PvIHfXIajcjPH_c
30,Codie A. Sanchez,1.2,1691,430,2205,Teacher,Career Growth,Personal Lesson,Hook -> List -> Insight,This reminds me of a study I learned about.,"This reminds me of a study I learned about.  It found what's called The Spillover Effect:  Kellogg Insight did a study across 58,000 hours in 11 compa","This reminds me of a study I learned about.

It found what's called The Spillover Effect:

Kellogg Insight did a study across 58,000 hours in 11 companies.

There were two main findings.

1) Positive Spillover

If you sit within 25ft of a HIGH performer, your performance increases by 15%.

You are no smarter, you work no harder... and you're 15% better.

These highest performers are not impacted by the low performance of their neighbors.

My takeaway = the strong lift up the weak.

But there was a second finding too, a much more concerning one...

2) Negative Spillover

If you sit near a LOW performer… Things get bad fast.

How they define “low performer” in the study is important:

These are “toxic workers.”

A “toxic” person = someone who ends up being fired for their behavior/performance.

On average:

- A toxic worker costs a company $12,800
- 2% of all workers are toxic
- They infect FAST.

And actually – the poison of a toxic worker spans way beyond 25ft:

Researchers said, “You can see their negative imprint and negative effect across an entire floor.”

So remember:

Success is contagious.

But so is toxicity.

↓ ↓ ↓

The same is true for the media you consume. Doomscroll hate on social media, you become a hateful person.

But if you'd rather surround yourself with stories of business owners & freedom finders, read this instead → https://lnkd.in/euh-mDd8",https://www.linkedin.com/posts/codiesanchez_this-reminds-me-of-a-study-i-learned-about-activity-7397272602806853632-bm6q?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEDtBswBjVuwVG0otHjNJlWi2-yeplMOI40
31,Codie A. Sanchez,1.2,1932,212,2193,Teacher,Leadership,Direct Advice,Hook -> Punch Line,Something to reflect on this season...,Something to reflect on this season...  Here’s to finding what lights you up like a Christmas tree in 2025🥂  ↓↓↓↓  PS: Give yourself the gift that kee,"Something to reflect on this season...

Here’s to finding what lights you up like a Christmas tree in 2025🥂

↓↓↓↓

PS: Give yourself the gift that keeps on giving & follow me Codie A. Sanchez 😉",https://www.linkedin.com/posts/codiesanchez_something-to-reflect-on-this-season-here-activity-7409956343224401920-tR7C?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABeLJ0cBRf9qmMzK70WZ_-qpueVG43towVA
32,Codie A. Sanchez,1.2,2029,152,2187,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,I sometimes pinch myself. I don't deserve this life.,I sometimes pinch myself. I don't deserve this life.  Knew nothing about finance. Public schools. Parents who worked nonstop. Party school for undergr,"I sometimes pinch myself. I don't deserve this life.

Knew nothing about finance.
Public schools.
Parents who worked nonstop.
Party school for undergrad.

But my family taught me about hard work, God, responsibility, and never quitting.

It makes no sense, except for the grace of God. Grateful.",https://www.linkedin.com/posts/codiesanchez_i-sometimes-pinch-myself-i-dont-deserve-activity-7420827842864799744-Mk7s?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEpL_c4Bg9eunimDzYTl-fGDJEG9oOc_G3o
33,Codie A. Sanchez,1.1,1711,411,2169,Magician,Finance / Money,Pattern Interrupt,Hook -> List -> Insight,“Follow your passion” is great advice...,"“Follow your passion” is great advice...  If you don’t care about being rich.  If you DO care about being rich, then the better advice is: Follow the ","“Follow your passion” is great advice...

If you don’t care about being rich.

If you DO care about being rich, then the better advice is: Follow the money.

- 70% of millionaires are self made.
- 68% of millionaires own a business (or as high as 88% depending on what criteria you use).
- The 10 richest men in the world hold 89% of their net worth in companies.

If you want to be financially free, you need skin in the game.

Good news is you don't have to be Warren Buffett or Jeff Bezos to figure this out.

You likely just need someone to show you the steps to take.

So I gathered up some of the smartest business buyers I know, and we're putting on a virtual intensive:

- Set YOUR business-buying goals
- Learn all the secrets of the process
- Do laser coaching on real deals

Grab your ticket to join here: https://lnkd.in/gf6hPHdF",https://www.linkedin.com/posts/codiesanchez_follow-your-passion-is-great-advice-activity-7411405793276792832-AVPJ?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABeLJ0cBRf9qmMzK70WZ_-qpueVG43towVA
34,Codie A. Sanchez,1.1,1650,435,2159,Magician,Entrepreneurship,Pattern Interrupt,Hook -> Story -> Reflection -> Question,What they dream of: Starting the next Apple,What they dream of: Starting the next Apple  What I dream of: Owning a painting biz...  Trillions of dollars are about to fall into the hands of those,"What they dream of: Starting the next Apple

What I dream of: Owning a painting biz...

Trillions of dollars are about to fall into the hands of those who are paying attention.

Let's talk numbers:

• 33.3 million small businesses in the US.
• That's 99.9% of all businesses.

What does this mean?

A sea of opportunity. 

Over 80% of these businesses have no employees. Just solo owners, doing their thing.

But of the other 20% (aka 6.6 million)... Many are ready to sell.

Problem is, most people are still daydreaming about sexy startups and AI breakthroughs.

They’re not daydreaming about plumbing companies. Laundromats. Self-storage units.

Because they’re not sexy.

In fact, they kind of smell like hard work. They smell like Main Street.

But the thing about these businesses is:

They quietly cashflow.

So.. why don’t you just start one?

A few reasons why starting sucks:
• Cashflow takes time
• You start with 0 employees (aka, you do all the work)
• You start with 0 customers (aka, even more work)
• You have to find a profitable biz model.

But there’s another option…

BUYING a business (done right) means:
• Instant cash flow.
• Existing customers.
• Proven business model.

You're not reinventing the wheel. You're taking something that works and making it work better.

It's a path to financial freedom that most people overlook.

The opportunity of a lifetime is hiding in plain sight.

So here's my challenge to you:

Stop dreaming about the next big startup.
Start looking at the businesses in your backyard.

Then go big and DO the damn thing.

↓↓↓↓

Disclaimer: I know I've made this sound easier than it is. 

Buying & running a biz is NOT easy. 

One of the reasons why I'm hosting a (free) Masterclass next week on biz buying. I'll break down the 10-step process I've used to buy dozens of cashflowing businesses.

My goal? You leave with the confidence & roadmap to buy your first biz. 

More info here → https://lnkd.in/e24qgbuh",https://www.linkedin.com/posts/codiesanchez_what-they-dream-of-starting-the-next-apple-activity-7401983577309204480-h4B0?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAAZHa_MBjyPSifUwtJTumM7WvyEQp1ka14g
35,Codie A. Sanchez,1.1,1742,313,2142,Magician,Philanthropy / Cause,Pattern Interrupt,Hook -> List -> Insight,Wall Street has one rule:,"Wall Street has one rule:  Never start what you can buy.  Here’s everything you need to know about buying a biz in 2025:   While 90% of startups fail,","Wall Street has one rule:

Never start what you can buy.

Here’s everything you need to know about buying a biz in 2025: 

While 90% of startups fail, 80% of acquisitions survive the first year.

88% of people worth $30M+ have done at lease one acquisition.

That means the best way to get rich isn’t to start a business like they love to tell us.

The best way to wealth with the highest degree of certainty is through acquisitions.

Right now, the average small business owner in the US is 67 years old. When you’ve run a business for 10+ years, you're bound to be exhausted.

These owners are motivated to sell by what I call the 7 D's:

• Departure
• Divorce
• Disease
• Disagreement
• Distress
• Death
• Dullness

They’re desperate to exit the game but don't know how. 

Most people think they need millions in capital to buy a businesses.

But they don't realize 60% of all business sales involve seller financing.

Instead of going to a bank for a loan, the seller becomes your bank.

You put some money down, and they get paid over time from the business profits.

There are 3 reasons why a seller would agree to this:

1. Cash

Let’s say the bank offered the seller $750,000 for their biz but you offered the seller $1.15 million paid over time.

They’ll make an extra $400,000 by being the bank.

2. Taxes

Lump sum payments hit the seller with massive tax bills.

Installment payments spread over 10 years means lower tax brackets and potentially hundreds of thousands saved.

3. Speed

Bank loans take 3-9 months to close. Seller financing can close in 2-3 weeks.

Now which businesses to target? 

Ones under $10 million in revenue with at least 15% profit margins.

Blue-collar service businesses fit this bill - HVAC, landscaping, cleaning services.

They're cash-flowing, recession-resistant, and boring enough that private equity ignores them. 

BUT, before searching anywhere, create what I call a deal box. Define exactly:

• How much cash flow you need annually
• Maximum purchase price
• Geographic preferences
• Industry focus
• Must-haves and can't-stands

If you don’t know what you’re looking for, you’ll never find it.

Next up, how to find businesses to buy? 

1. Venmo Challenge

Pull your payment history and filter out friends and big companies. What's left are small businesses you already pay - cleaning services, handymen, landscapers.

2. Personal P&L Review.

Open your credit card statements and look at small businesses you spend with. These are owners you can reach out to.

3. The 9-5 Strategy:

One of our community members bought her coworker's $1.5M business with full seller financing after he decided to retire to go skiing with his wife.

↓ ↓ ↓

As a thank you for sticking around to the end, I want you give my ""Deal Clarity Workbook.""

It helps you figure out what business is right for you.

Grab it here: https://lnkd.in/enPdVi_D",https://www.linkedin.com/posts/codiesanchez_wall-street-has-one-rule-never-start-what-activity-7429175727318581248-BiJd?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABZ7-HEBruCM6sZQ3V5BFFp4L-sCzx01HEI
36,Codie A. Sanchez,1.1,1751,315,2113,Magician,Entrepreneurship,Data-Driven Revelation,Hook -> Numbered List -> CTA,6 other traits of rich people no one tells you:,6 other traits of rich people no one tells you:  1. Rich people want you to sell them something.  2. Something 99% of rich people have in common: they,"6 other traits of rich people no one tells you:

1. Rich people want you to sell them something.

2. Something 99% of rich people have in common: they own. Most often, they own businesses & real estate.

3. Most people complain about taxes, then pay them. Rich people study taxes then outsmart them.

4. In my experience, almost all successful people are competitive. More competitive you are, more likely you are to succeed.

5. Most rich people I know don't care about their title at all. Business owner > visionary, industry disrupter, startup CEO

6. You'll learn the most from asking rich people this question: ""When did you almost lose it all? What did you learn?""

💥 For more like this, feel free to follow me → Codie A. Sanchez",https://www.linkedin.com/posts/codiesanchez_6-other-traits-of-rich-people-no-one-tells-activity-7411051384311209984-BvtL?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABeLJ0cBRf9qmMzK70WZ_-qpueVG43towVA
37,Codie A. Sanchez,1.0,1522,357,1928,Teacher,Leadership,Direct Advice,Hook -> Insight -> Close,If you have had:,If you have had:  • a terrible boss • workplace ptsd • a bankruptcy • a huge failure  GOOD.  Chips on shoulders > easy roads.  The more you do hard th,"If you have had:

• a terrible boss
• workplace ptsd
• a bankruptcy
• a huge failure

GOOD.

Chips on shoulders > easy roads.

The more you do hard things, the more you'll get what you want.

Because doing hard things, makes hard things easier.

If you're doing it right, the failure that leveled you last year, won't even register this year.

↓ ↓ ↓

If you're ready to seek out your next hard thing, let's buy a business this year ;)

Here's a list of 130 boring biz's I'd start with → https://lnkd.in/eGpHZtx3",https://www.linkedin.com/posts/codiesanchez_if-you-have-had-a-terrible-boss-workplace-activity-7422639778048880640-1WTu?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABoBKrsBx3ozlVCrBn34fGmjwCmWu7INH6k
38,Codie A. Sanchez,1.0,1447,418,1917,Teacher,Motherhood / Family,Practical Framework,Hook -> List -> Insight,This is the hiring framework most small business owners never figure out:,"This is the hiring framework most small business owners never figure out:  Unicorns vs Donkeys  Unicorns = A players, high performers, self starters..","This is the hiring framework most small business owners never figure out:

Unicorns vs Donkeys

Unicorns = A players, high performers, self starters... aka, the person you WANT to hire for every role at your company.

Donkeys = B and C players, lacking initiative, unmotivated, task-oriented.

The truth every business owner knows but hates to face:

Donkeys are common.

Unicorns are rare.

Unfortunately, MOST people are donkeys. And as a smaller-level business, it's very hard to build the profit needed to attract unicorns.

So you're left with 2 options. You can either:

1. Build a business that can actively search for unicorns.

2. Build processes so good that donkeys can win the race.

Many problems in your business are a WHO problem. But you'd be surprised that solving the HOW often enables the people you have now to succeed.

Processes are your secret weapon.",https://www.linkedin.com/posts/codiesanchez_this-is-the-hiring-framework-most-small-business-activity-7417203896517005348-84yo?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF0xL_oByCbKvMWnw2gqp5d9JJD_HZczzDg
39,Codie A. Sanchez,1.0,1480,376,1900,Contrarian,Finance / Money,Challenging Convention,Hook -> Insight -> Close,Hot take that I don’t think is that “hot”:,"Hot take that I don’t think is that “hot”:  We should seize college endowments, use them to pay down student loans, and eliminate government education","Hot take that I don’t think is that “hot”:

We should seize college endowments, use them to pay down student loans, and eliminate government education subsidies altogether.

Maybe then schools would have to get back to the business of teaching instead of acting like investment firms.

Something very eerie about watching endowments post wall-to-wall green returns while youth unemployment hits record highs, household debt skyrockets, and homeownership plummets.

The very institutions that are supposed to prepare the next generation for the “American Dream” are failing spectacularly - yet they’re the ones being rewarded.",https://www.linkedin.com/posts/codiesanchez_hot-take-that-i-dont-think-is-that-hot-activity-7407062778781372417-9ulJ?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF2Y6NIBjLCR2LuAnrOyVuICWOB3FOWNFHE
40,Codie A. Sanchez,1.0,1483,377,1896,Teacher,Finance / Money,Direct Advice,Hook -> List -> Insight,"If you’re in your 20s, I’m gonna tell you the truth that nobody told me.","If you’re in your 20s, I’m gonna tell you the truth that nobody told me.  I’m in my 30s now, and I wish someone would’ve told me that your 20s actuall","If you’re in your 20s, I’m gonna tell you the truth that nobody told me.

I’m in my 30s now, and I wish someone would’ve told me that your 20s actually suck.

Everybody TELLS you this is the best time in your life, but when you’re in it, it feels the opposite of that.

You are hotter than you’ll ever be, and you have more energy, BUT:

- You’re kind of broke.
- You can’t figure out what you want to “do” with your life
- You feel lost, you work nonstop, you have a miserable job
- You’re single, dating, with crazy emotions
- You go out drinking more than you should

But here’s the thing:

Everybody’s been there. It’s totally normal. And honestly, at the end of the day, your 30s are AWESOME.

Coming into your mid 30s is a blast:

- You have money finally
- You kinda have an idea of what you wanna do with your life
- You’re not so emotionally volatile
- People are slightly more mature, you don’t have to date idiot 20-year-olds

Just know, it gets better.

If it sucks right now, guess what? It’s supposed to.",https://www.linkedin.com/posts/codiesanchez_if-youre-in-your-20s-im-gonna-tell-you-activity-7405607485899907072-EDmM?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF2Y6NIBjLCR2LuAnrOyVuICWOB3FOWNFHE
41,Codie A. Sanchez,1.0,1498,344,1896,Teacher,Motherhood / Family,Direct Advice,Hook -> List -> Insight,Rich people want you to sell them something.,Rich people want you to sell them something.  And there are only 5 reasons rich people buy:  Every single reason falls into this hierarchy we call the,"Rich people want you to sell them something.

And there are only 5 reasons rich people buy:

Every single reason falls into this hierarchy we call the The Rich Desire Pyramid.

The 5 Levels of Rich Desire:

1. Status – “Make me look important.”

How to sell it: Position your business as the best, not the cheapest. Showcase expertise, exclusivity, and premium service.

Think Hermes: Limited-run purses that are mostly handmade by one person each, from start to finish.

2. Convenience – “Make my life easier.”

How to sell it: Eliminate friction. Offer white-glove service, subscriptions, and concierge treatment. Private jets. Fast. Expensive.

3. Exclusivity – “Let me in, keep others out.”

How to sell it: Restrict access. Membership models, invite-only services, and VIP tiers create demand. Tiger 21 — $20M and they validate your income.

4. Privacy – “Give me space.”

How to sell it: Offer high-trust, high-security services. NDA policies, direct access to owners, and absolute discretion build loyalty. Scrub my name off the internet services.

5. Scarcity – “Make it hard to get.”

How to sell it: Limit availability. Waiting lists, premium tiers, and applications drive demand. Think waiting for the brand new shoe drops. Or Birkin bags.

They're buying into a feeling, a position, a lifestyle. They aren’t price-sensitive, they’re value-sensitive.

I hope something here spoke to you.

↓↓↓

P.S. Business owners, I have something for you. 

On February 10th, I'm running a free masterclass breaking down four simple levers every biz can pull to unlock more profit in their business. 

Curious to learn what they are?

Sign up here: https://lnkd.in/dvq3vjJ9",https://www.linkedin.com/posts/codiesanchez_rich-people-want-you-to-sell-them-something-activity-7424452123406295040-1gF9?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABoBKrsBx3ozlVCrBn34fGmjwCmWu7INH6k
42,Codie A. Sanchez,1.0,1507,338,1880,Teacher,Motherhood / Family,Thought Leadership,Hook -> Punch Line,Work smarter not harder is a beautiful lie.,Work smarter not harder is a beautiful lie.  Hard lesson for me and you...  The people doing better than you aren’t smarter than you. They aren’t bett,"Work smarter not harder is a beautiful lie.

Hard lesson for me and you...

The people doing better than you aren’t smarter than you. They aren’t better than you. They aren’t luckier than you.

They’re just working so much harder than you, you can't even imagine.

The only thing separating you from them is:

Grit + Time + Consistency",https://www.linkedin.com/posts/codiesanchez_work-smarter-not-harder-is-a-beautiful-lie-activity-7398361344091250688-sgLf?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE0B4ksBsfe1athTetp5PvIHfXIajcjPH_c
43,Codie A. Sanchez,1.0,1487,332,1862,Teacher,Entrepreneurship,Thought Leadership,Hook -> List -> Insight,MBA graduates aren't chasing jobs at Goldman or Google anymore.,MBA graduates aren't chasing jobs at Goldman or Google anymore.  They want ownership.  Here’s why some MBA graduates are choosing acquisitions over st,"MBA graduates aren't chasing jobs at Goldman or Google anymore.

They want ownership.

Here’s why some MBA graduates are choosing acquisitions over startups: 

In the 70s, 80s, 90s, MBA grads bought fancy suits and gloated about their big corner offices.

Now, they’re being taught to acquire companies.

We’re living in a GOLDEN ERA for business buying...

Baby Boomers hit ‘peak 65’ last year and it was the largest surge of in our beautiful nation's history. 

An average of 4.1 million Americans will retire EVERY year until 2027. 

And many own businesses they don’t know what to do with…

It’s up to us to continue their legacy and keep their businesses alive. 

Use my 3-6-12 framework to go a-z in buying your first biz... 

The TL;DR is this: 

• 3 months minimum to learn dealmaking
• 6 months to source and secure your deal
• 12 months post-purchase to master the business

Now, let’s break each step down: 

Your first 3 months should be pure learning.

There’s no such thing as a perfect business. Only a perfect business for YOU.

Figure out exactly what that business looks like before you start searching for it.

Terms, financials, tactics, structuring.

Acquisitions is a language. You need to get fluent.

The next 6 months are about finding YOUR deal:

• You'll look at 50+ businesses
• Submit 10-25 offers
• Perform due diligence on 3-5
• Close on 1

The numbers game isn't sexy. But it works.

Once you buy, give yourself 12 full months to master the business.

Why?

• Month 1-3: Learning systems
• Month 4-6: Stabilizing operations
• Month 7-9: Building team trust
• Month 10-12: Growing strategically

Rush this timeline and you'll destroy what you just bought.

I can’t stress this last point enough — you need to be patient. 

As the wonderful Warren Buffett once said: 

""You can't produce a baby in 1 month by getting nine women pregnant.""

You CAN have the business you want. But it comes on its own timeline, not yours.

And that’s it!

Remember, before buying ANYTHING, ask yourself:

1. What kind of business would I actually ENJOY running?

2. What skills do I bring that would ADD VALUE?

3. Can I handle the pressure of other people's livelihoods depending on me?

Then, execute on the 3-6-12 framework.

↓↓↓↓

If you've read this far... I've got something for you. 

I'm sure there are a bunch of questions running through your mind like: 

• How do I buy a business?
• Which is the right one to buy?
• Would I be capable of running it?
• How do I know if this would be the right path for me?

Give me 90 minutes and I'll answer you.

I'm hosting a live Masterclass next week on all of this. Completely free.

Get details & save your spot here → https://lnkd.in/e24qgbuh",https://www.linkedin.com/posts/codiesanchez_mba-graduates-arent-chasing-jobs-at-goldman-activity-7402711142185299968-hgf6?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAAZHa_MBjyPSifUwtJTumM7WvyEQp1ka14g
44,Codie A. Sanchez,1.0,1414,356,1848,Teacher,Entrepreneurship,Thought Leadership,Hook -> List -> Insight,Business scaling isn't rocket science.,"Business scaling isn't rocket science.  But it is a science.  After working with 100s of companies, I can tell you the difference between the ones tha","Business scaling isn't rocket science.

But it is a science.

After working with 100s of companies, I can tell you the difference between the ones that plateau and the ones that explode comes down to these 3 levers:

Every scalable business needs:

- The right people (who)
- The right systems (how)
- The right focus (what)

Miss any one, and you'll hit a ceiling.Let's break down each piece (and I'll share what most get wrong):

1. Let's start with PEOPLE

Most owners hire too fast, fire too slow, and expect a miracle in between.

A bad executive hire will cost you $200-300K+ and waste 6-12mos of momentum.

But get it right? You start to own your business instead of being owned by it.

To make sure we only hire A-players, every hire goes through this matrix:

• Known Candidate: Team vouches for them
• Proven Experience: Done exact job before
• Proven Industry: Worked in your sector
• Proven Problem Set: Solved your problem
• Proven Scale: Built at your size

2. Next up: SYSTEMS

5 systems all successful companies have:

• Executive Vision (where you're going)
• KPIs/Goals (what success looks like)
• Performance Dashboards (tracking what matters)
• Communication (keeping us aligned)
• Strong Culture (making it all work together)

Most businesses build these 5 system chains separately.

But we noticed that connecting them through a framework makes scaling more predictable...

This reduces the inevitable bottlenecks that re-appear as you grow:

• Executive planning feeds into →
• Sales metrics which optimize →
• Operations processes which enable →
• Team communication which improves →
• Financial performance

This doesn’t eliminate all growing pains.. but it brings a method to the madness of building.

3. The final lever: FOCUS.

Most owners try to solve 27 problems at once.

The best solve ONE problem exceptionally well – and they pick the RIGHT problem.

Something I constantly hear is: ""My prospects can't afford my product.""But it's rarely a pricing problem. It's almost always a persona problem…

When prospects ""can't afford"" your product, run these 3 tests:

• Competitive analysis: How does your pricing compare?
• Marketing analysis: Is your value prop clear?
• Avatar analysis: Are you targeting the right people?

99% of the time, your problem is an avatar mismatch.

You're trying to sell snow to Eskimos, instead of hot chocolate to skiers.

The most valuable exercise for any owner is building a detailed customer avatar.

Define who NEEDS your solution, not who you wish would buy it.

I've just scratched the surface of these frameworks today...and implementing them properly is where most owners struggle.

↓↓↓

If you’d like to learn how to apply these frameworks in your business to find hidden cash...check out our workshop next week. 

It's the only thing on the agenda: https://lnkd.in/gZaAQkpT",https://www.linkedin.com/posts/codiesanchez_business-scaling-isnt-rocket-science-but-activity-7405254328954949633-LfX7?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF2Y6NIBjLCR2LuAnrOyVuICWOB3FOWNFHE
45,Codie A. Sanchez,1.0,1444,325,1825,Teacher,Business Strategy,Thought Leadership,Hook -> List -> Insight,The 6 secrets to increasing your biz's value all start with one term:,"The 6 secrets to increasing your biz's value all start with one term:   Recurring revenue.  The holy grail of business.  It's predictable, stable inco","The 6 secrets to increasing your biz's value all start with one term: 

Recurring revenue.

The holy grail of business.

It's predictable, stable income that comes in month after month, year after year. Plus, there are a ton of other benefits:

• Higher Customer Lifetime Values (CLVs)
• for lower acquisition costs
• More predictable cashflow
• which makes budgeting & planning easier

Potential buyers LOVE recurring revenue. It makes it 10x easier to hire an operator, secure funding, and scale.

As an owner, your end goal is likely an acquisition... And recurring revenue increases your chances.

There are 6 types of recurring revenue:

(Ideally, your biz has at least 3 of these)

1. Long-term contracts

These are agreements of over a year that lock in guaranteed revenue. The longer the contract term, the more valuable it makes a business.

2. Auto-renewal subscriptions

This is the ""set it and forget it"" model. Customers sign up once, and their card is charged every month, quarter, or year.

3. Sunk money subscriptions

This is also known as the 'razor and blades' business model: You buy a base product (a razor), then have to continually buy refills (blades). Since the real money's in the refill, the base product is often sold cheap.

4. Pay-as-you-go

Customers only pay for what they use, but are still subscribed long-term as there’s friction in moving to another platform.

5. Loyalty programs

Giving your customers points & perks makes a customer feel they're ""losing out"" on potential savings if they go elsewhere. No one does this better than airlines.

6. Simple consumables

These are one-off items that are repurchased out of sheer habit & loyalty. Think, regulars at coffee shops, your favorite brand of toothpaste, transportation you have to take every day.

Recurring revenue is a HUGE key to retirement as a business owner.

With so many different types, the options are limited only to your creativity.

↓ ↓ ↓

Best way to track & forecast recurring & non recurring revenue? 

A cashflow tracker. 

Because the only real business advice you really need is...don't run out of cash. 

Feel free to use my template: https://lnkd.in/eHEiMUr9",https://www.linkedin.com/posts/codiesanchez_the-6-secrets-to-increasing-your-bizs-value-activity-7399453346358562816-MyPB?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE0B4ksBsfe1athTetp5PvIHfXIajcjPH_c
